	count	mean	std	min	25%	50%	75%	max
001-F0_S3_L001_001	9937	24	23	10	13	17	28	597
001-F0_S3_L002_001	9507	23	21	10	12	17	28	548
001-F0_S3_L003_001	9957	24	24	10	13	18	28	580
001-F0_S3_L004_001	9514	24	22	10	13	17	28	521
001-F5_S2_L001_001	9657	24	21	10	13	18	29	514
001-F5_S2_L002_001	9184	24	20	10	13	18	28	453
001-F5_S2_L003_001	9743	24	21	10	13	18	29	483
001-F5_S2_L004_001	9192	24	22	10	12	18	28	797
004-F0_S5_L001_001	6385	20	14	10	12	16	24	262
004-F0_S5_L002_001	6158	20	13	10	12	16	24	290
004-F0_S5_L003_001	6323	20	14	10	12	16	24	273
004-F0_S5_L004_001	6310	20	14	10	12	16	24	275
004-F5_S4_L001_001	6642	21	16	10	12	17	26	374
004-F5_S4_L002_001	6547	21	15	10	12	17	26	299
004-F5_S4_L003_001	6660	22	16	10	12	17	26	350
004-F5_S4_L004_001	6641	21	16	10	12	17	26	367
004-primary_S1_L001_001	14119	28	23	10	13	19	34	534
004-primary_S1_L002_001	14123	27	23	10	13	19	33	524
004-primary_S1_L003_001	14142	28	24	10	13	20	34	580
004-primary_S1_L004_001	14190	28	25	10	13	19	34	793
005-F0_S3_L001_001	9593	25	22	10	13	18	31	450
005-F0_S3_L002_001	9544	25	22	10	13	19	31	494
005-F0_S3_L003_001	9618	26	23	10	13	19	31	539
005-F0_S3_L004_001	9494	25	21	10	13	19	30	454
005-F5_S2_L001_001	8369	23	18	10	12	17	27	357
005-F5_S2_L002_001	8226	23	19	10	13	17	27	377
005-F5_S2_L003_001	8374	23	19	10	13	17	27	400
005-F5_S2_L004_001	8354	23	18	10	12	17	27	404
005-primary_S6_L001_001	14876	29	26	10	13	20	36	432
005-primary_S6_L002_001	14804	29	26	10	13	20	35	510
005-primary_S6_L003_001	15053	29	26	10	13	20	35	445
005-primary_S6_L004_001	14878	29	26	10	13	20	35	458
006-F0_S6_L001_001	12505	24	20	10	13	18	28	501
006-F0_S6_L002_001	11894	23	19	10	13	17	28	471
006-F0_S6_L003_001	12515	24	19	10	13	18	28	507
006-F0_S6_L004_001	11970	23	19	10	12	18	28	462
006-F5_S1_L001_001	12534	22	19	10	12	17	26	742
006-F5_S1_L002_001	11899	22	18	10	12	17	26	488
006-F5_S1_L003_001	12532	22	20	10	12	17	26	779
006-F5_S1_L004_001	11929	22	18	10	12	17	26	472
008-F0_S1_L001_001	13737	25	21	10	13	18	30	418
008-F0_S1_L002_001	13427	25	20	10	13	18	30	383
008-F0_S1_L003_001	13448	25	20	10	13	18	30	391
008-F0_S1_L004_001	13775	25	22	10	13	18	30	754
008-F5_S2_L001_001	7447	21	15	10	12	17	25	231
008-F5_S2_L002_001	7293	21	15	10	12	16	25	247
008-F5_S2_L003_001	7298	21	17	10	12	16	25	788
008-F5_S2_L004_001	7530	21	18	10	12	17	25	779
018-F0_S3_L001_001	10988	24	19	10	13	18	28	330
018-F0_S3_L002_001	10846	24	19	10	13	18	28	309
018-F0_S3_L003_001	10745	24	19	10	13	18	29	617
018-F0_S3_L004_001	11010	24	20	10	13	18	29	643
018-F5_S4_L001_001	8320	22	16	10	12	17	27	302
018-F5_S4_L002_001	8321	22	16	10	12	17	26	271
018-F5_S4_L003_001	8215	22	16	10	12	17	26	267
018-F5_S4_L004_001	8340	22	16	10	12	17	26	269
019-F0_S5_L001_001	5729	20	14	10	12	16	23	250
019-F0_S5_L002_001	5698	19	14	10	12	16	23	283
019-F0_S5_L003_001	5602	20	15	10	12	16	23	301
019-F0_S5_L004_001	5710	20	14	10	12	16	23	200
019-F5_S6_L001_001	11494	24	20	10	13	18	29	604
019-F5_S6_L002_001	11339	24	19	10	13	18	29	352
019-F5_S6_L003_001	11203	24	19	10	13	18	29	370
019-F5_S6_L004_001	11437	24	20	10	13	18	29	338
029-F0_S5_L001_001	10247	22	17	10	12	17	27	330
029-F0_S5_L002_001	9841	22	16	10	12	17	26	303
029-F0_S5_L003_001	10392	22	17	10	12	17	27	379
029-F0_S5_L004_001	9798	22	16	10	12	17	26	329
029-F5_S4_L001_001	14769	26	23	10	13	18	30	466
029-F5_S4_L002_001	14287	25	21	10	13	18	30	427
029-F5_S4_L003_001	14927	26	23	10	13	18	31	459
029-F5_S4_L004_001	14125	25	22	10	13	18	30	422
030-F0_S1_L001_001	4976	18	11	10	12	15	22	174
030-F0_S1_L002_001	4824	18	11	10	12	15	22	188
030-F0_S1_L003_001	4937	18	11	10	12	15	22	149
030-F0_S1_L004_001	4783	19	11	10	12	15	22	155
030-F5_S6_L001_001	2344	16	8	10	11	14	19	114
030-F5_S6_L002_001	2176	16	8	10	11	14	18	104
030-F5_S6_L003_001	2302	16	8	10	11	14	19	112
030-F5_S6_L004_001	2245	16	8	10	11	14	19	92
032-F0_S5_L001_001	15700	29	26	10	13	20	35	536
032-F0_S5_L002_001	15359	28	25	10	13	20	34	488
032-F0_S5_L003_001	15777	29	26	10	13	20	35	722
032-F0_S5_L004_001	15497	29	25	10	13	20	35	462
032-F5_S3_L001_001	20700	32	33	10	14	21	38	638
032-F5_S3_L002_001	20383	32	34	10	14	21	38	750
032-F5_S3_L003_001	20735	32	33	10	14	21	38	639
032-F5_S3_L004_001	20529	32	33	10	14	21	38	639
040-F0_S2_L001_001	4324	18	11	10	12	15	22	145
040-F0_S2_L002_001	4295	18	11	10	12	15	21	164
040-F0_S2_L003_001	4341	18	11	10	12	15	22	159
040-F0_S2_L004_001	4235	18	11	10	12	15	21	187
040-F5_S4_L001_001	8265	23	17	10	12	17	27	252
040-F5_S4_L002_001	8010	22	17	10	12	17	27	268
040-F5_S4_L003_001	8264	23	17	10	12	17	27	295
040-F5_S4_L004_001	8110	23	18	10	12	17	27	280
KS25_S6_L001_001	6687	19	12	10	12	16	23	221
KS25_S6_L002_001	6564	19	12	10	12	16	23	218
KS25_S6_L003_001	6674	19	14	10	12	16	23	527
KS25_S6_L004_001	6629	19	12	10	12	16	23	203
KS26_S5_L001_001	11606	25	22	10	13	18	29	769
KS26_S5_L002_001	11619	24	19	10	13	18	30	370
KS26_S5_L003_001	11615	25	22	10	13	18	30	783
KS26_S5_L004_001	11698	25	19	10	13	18	30	352
KS27_S1_L001_001	13103	24	18	10	13	18	29	325
KS27_S1_L002_001	12855	23	17	10	13	18	28	310
KS27_S1_L003_001	13052	23	18	10	13	18	28	364
KS27_S1_L004_001	13098	23	18	10	13	18	28	329
KS28_S3_L001_001	14210	25	20	10	13	18	30	357
KS28_S3_L002_001	13866	25	19	10	13	18	30	355
KS28_S3_L003_001	14013	25	20	10	13	19	30	369
KS28_S3_L004_001	14013	25	20	10	13	19	30	356
KS29_S2_L001_001	9997	24	19	10	13	18	29	408
KS29_S2_L002_001	9965	24	19	10	13	18	29	397
KS29_S2_L003_001	9936	24	19	10	13	18	29	340
KS29_S2_L004_001	10022	24	18	10	13	18	29	373
KS30_S4_L001_001	13677	26	22	10	13	19	32	441
KS30_S4_L002_001	13474	26	22	10	13	19	31	409
KS30_S4_L003_001	13615	26	22	10	13	19	32	431
KS30_S4_L004_001	13490	26	22	10	13	19	32	441
