	.	frameshift deletion	frameshift insertion	nonframeshift deletion	nonframeshift insertion	nonsynonymous SNV	stopgain	stoploss	synonymous SNV	unknown
001-F0_S3_L001_001	8825	3	9	6	18	612	15	2	429	18
001-F0_S3_L002_001	8444	3	11	6	11	586	17	2	414	13
001-F0_S3_L003_001	8854	5	8	7	14	604	16	2	432	15
001-F0_S3_L004_001	8450	3	7	6	14	578	16	2	422	16
001-F5_S2_L001_001	8565	2	11	5	15	608	17	2	418	14
001-F5_S2_L002_001	8124	3	9	1	15	586	14	2	413	17
001-F5_S2_L003_001	8662	3	8	4	18	591	13	2	430	12
001-F5_S2_L004_001	8125	4	6	6	17	594	14	2	411	13
004-F0_S5_L001_001	5513	9	8	5	10	463	5	1	353	18
004-F0_S5_L002_001	5304	10	6	2	13	457	7	1	340	18
004-F0_S5_L003_001	5462	9	5	3	8	455	9	0	355	17
004-F0_S5_L004_001	5463	7	8	2	9	449	6	1	347	18
004-F5_S4_L001_001	5732	9	5	0	15	491	8	1	362	19
004-F5_S4_L002_001	5626	9	9	4	13	489	9	0	369	19
004-F5_S4_L003_001	5749	10	7	2	14	496	6	1	358	17
004-F5_S4_L004_001	5730	9	7	5	12	482	7	0	373	16
004-primary_S1_L001_001	12804	13	11	4	19	682	13	1	548	24
004-primary_S1_L002_001	12785	12	12	4	18	704	12	1	548	27
004-primary_S1_L003_001	12813	13	11	4	21	688	13	2	552	25
004-primary_S1_L004_001	12878	12	9	4	22	687	12	1	540	25
005-F0_S3_L001_001	8451	10	5	4	17	596	11	1	484	14
005-F0_S3_L002_001	8422	10	6	6	13	580	13	1	473	20
005-F0_S3_L003_001	8488	9	7	3	11	581	11	1	492	15
005-F0_S3_L004_001	8366	6	6	5	15	582	12	1	488	13
005-F5_S2_L001_001	7357	7	4	3	11	527	12	1	430	17
005-F5_S2_L002_001	7205	6	8	4	13	522	13	1	436	18
005-F5_S2_L003_001	7344	7	7	3	11	544	14	1	433	10
005-F5_S2_L004_001	7325	7	6	4	10	530	14	1	442	15
005-primary_S6_L001_001	13508	13	5	5	16	708	13	0	589	19
005-primary_S6_L002_001	13431	13	8	5	16	717	13	0	581	20
005-primary_S6_L003_001	13661	12	8	6	15	716	16	1	598	20
005-primary_S6_L004_001	13476	13	9	6	18	735	12	1	587	21
006-F0_S6_L001_001	11436	7	6	3	14	583	11	0	421	24
006-F0_S6_L002_001	10819	3	8	4	18	600	11	0	409	22
006-F0_S6_L003_001	11430	4	8	4	12	603	14	0	418	22
006-F0_S6_L004_001	10901	5	6	4	16	588	16	0	415	19
006-F5_S1_L001_001	11527	7	4	4	13	566	11	0	389	13
006-F5_S1_L002_001	10919	5	5	3	15	559	13	0	364	16
006-F5_S1_L003_001	11524	4	5	3	12	582	11	0	375	16
006-F5_S1_L004_001	10945	7	6	1	18	566	10	0	362	14
008-F0_S1_L001_001	12571	11	5	11	26	630	12	0	457	14
008-F0_S1_L002_001	12263	12	7	10	22	632	14	0	452	15
008-F0_S1_L003_001	12269	11	5	8	22	646	16	0	460	11
008-F0_S1_L004_001	12600	13	7	11	19	640	11	0	457	17
008-F5_S2_L001_001	6541	7	4	6	16	502	10	0	348	13
008-F5_S2_L002_001	6364	7	4	9	17	505	10	0	366	11
008-F5_S2_L003_001	6378	9	6	9	16	509	9	0	349	13
008-F5_S2_L004_001	6600	7	3	6	19	512	11	0	360	12
018-F0_S3_L001_001	9931	10	3	8	23	573	11	0	416	13
018-F0_S3_L002_001	9785	10	5	8	18	582	9	0	415	14
018-F0_S3_L003_001	9676	8	4	9	18	587	13	0	417	13
018-F0_S3_L004_001	9927	11	3	8	18	604	10	0	416	13
018-F5_S4_L001_001	7328	8	4	9	17	550	8	0	385	11
018-F5_S4_L002_001	7320	7	5	6	17	554	9	0	396	7
018-F5_S4_L003_001	7245	7	6	11	17	528	10	0	382	9
018-F5_S4_L004_001	7372	9	4	9	17	533	9	0	377	10
019-F0_S5_L001_001	4861	6	4	7	18	467	8	0	345	13
019-F0_S5_L002_001	4840	7	3	6	19	474	10	0	330	9
019-F0_S5_L003_001	4761	6	4	4	13	456	9	0	339	10
019-F0_S5_L004_001	4870	5	5	5	15	456	8	0	333	13
019-F5_S6_L001_001	10391	8	7	7	23	606	11	0	428	13
019-F5_S6_L002_001	10239	10	6	8	19	599	11	0	435	12
019-F5_S6_L003_001	10097	10	7	7	21	603	11	0	432	15
019-F5_S6_L004_001	10332	10	6	8	21	600	15	0	432	13
029-F0_S5_L001_001	9246	10	8	5	14	541	9	0	401	13
029-F0_S5_L002_001	8845	12	9	7	14	533	9	0	398	14
029-F0_S5_L003_001	9347	12	6	7	17	565	10	0	408	20
029-F0_S5_L004_001	8803	11	11	5	12	531	10	0	400	15
029-F5_S4_L001_001	13592	11	8	9	21	634	10	0	467	17
029-F5_S4_L002_001	13091	14	11	10	19	638	10	1	475	18
029-F5_S4_L003_001	13718	14	8	7	23	662	11	0	465	19
029-F5_S4_L004_001	12956	11	6	4	20	627	13	1	470	17
030-F0_S1_L001_001	4147	10	4	2	11	456	8	0	328	10
030-F0_S1_L002_001	3999	13	4	2	11	438	9	0	338	10
030-F0_S1_L003_001	4106	10	5	2	12	451	9	0	330	12
030-F0_S1_L004_001	3983	9	6	3	8	451	7	0	308	8
030-F5_S6_L001_001	1836	6	2	0	5	270	3	0	215	7
030-F5_S6_L002_001	1703	4	2	0	5	267	6	0	179	10
030-F5_S6_L003_001	1802	3	2	1	6	277	4	0	202	5
030-F5_S6_L004_001	1761	4	3	0	2	277	5	0	184	9
032-F0_S5_L001_001	14418	7	9	6	21	722	13	1	487	16
032-F0_S5_L002_001	14082	10	8	7	16	721	11	1	485	18
032-F0_S5_L003_001	14509	8	7	9	17	707	13	1	485	21
032-F0_S5_L004_001	14238	8	7	7	15	699	12	1	492	18
032-F5_S3_L001_001	19295	10	10	5	17	793	16	1	530	23
032-F5_S3_L002_001	19020	7	9	10	20	751	17	1	528	20
032-F5_S3_L003_001	19352	7	9	9	19	768	17	1	529	24
032-F5_S3_L004_001	19132	7	9	7	17	788	12	1	528	28
040-F0_S2_L001_001	3740	11	5	3	7	302	9	0	236	11
040-F0_S2_L002_001	3741	7	6	6	7	280	7	0	234	7
040-F0_S2_L003_001	3768	5	8	6	7	300	7	0	236	4
040-F0_S2_L004_001	3674	8	4	5	10	290	7	0	233	4
040-F5_S4_L001_001	7441	9	8	6	17	438	11	0	327	8
040-F5_S4_L002_001	7209	9	10	7	17	424	10	0	313	11
040-F5_S4_L003_001	7444	7	10	5	20	429	16	0	324	9
040-F5_S4_L004_001	7309	9	8	6	15	423	10	0	321	9
KS25_S6_L001_001	5757	4	7	7	10	506	7	0	378	11
KS25_S6_L002_001	5637	8	6	6	15	493	8	0	379	12
KS25_S6_L003_001	5737	8	4	6	12	510	9	0	377	11
KS25_S6_L004_001	5711	7	5	5	14	513	10	0	355	9
KS26_S5_L001_001	10453	12	7	11	19	622	15	1	451	15
KS26_S5_L002_001	10500	10	6	7	18	609	12	0	442	15
KS26_S5_L003_001	10477	11	6	9	18	608	14	0	456	16
KS26_S5_L004_001	10536	12	6	8	22	623	12	1	463	15
KS27_S1_L001_001	12006	6	6	3	15	634	13	0	404	16
KS27_S1_L002_001	11730	6	5	4	16	664	11	0	404	15
KS27_S1_L003_001	11921	8	4	4	17	657	12	0	412	17
KS27_S1_L004_001	11959	6	5	3	16	677	12	0	406	14
KS28_S3_L001_001	13041	6	6	3	21	680	12	0	424	17
KS28_S3_L002_001	12678	7	9	4	22	690	13	0	424	19
KS28_S3_L003_001	12828	7	5	6	20	699	12	0	418	18
KS28_S3_L004_001	12856	9	5	1	19	671	12	0	424	16
KS29_S2_L001_001	9050	11	4	4	17	552	10	0	336	13
KS29_S2_L002_001	9024	8	5	2	16	552	11	0	330	17
KS29_S2_L003_001	9011	6	4	3	18	546	10	0	326	12
KS29_S2_L004_001	9079	8	4	4	18	544	11	0	343	11
KS30_S4_L001_001	12650	10	5	0	19	604	12	0	361	16
KS30_S4_L002_001	12451	9	5	2	24	582	15	0	367	19
KS30_S4_L003_001	12593	8	7	5	23	597	13	0	356	13
KS30_S4_L004_001	12482	8	7	4	22	585	12	0	358	12
